@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_I2C_RST2_N_R (in view: work.BP_4S104G5(verilog)) on net o_I2C_RST2_N_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_I2C_RST1_N_R (in view: work.BP_4S104G5(verilog)) on net o_I2C_RST1_N_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_I2C_RST0_N_R (in view: work.BP_4S104G5(verilog)) on net o_I2C_RST0_N_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_DS160_RX_READ_EN_N (in view: work.BP_4S104G5(verilog)) on net o_DS160_RX_READ_EN_N (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_DS160_TX_READ_EN_N (in view: work.BP_4S104G5(verilog)) on net o_DS160_TX_READ_EN_N (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_NVLINK_REFCLK_SELECT_R (in view: work.BP_4S104G5(verilog)) on net o_NVLINK_REFCLK_SELECT_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_HGX_DETECT_N_R (in view: work.BP_4S104G5(verilog)) on net o_HGX_DETECT_N_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_FPGA_BOOT_EN_R (in view: work.BP_4S104G5(verilog)) on net o_FPGA_BOOT_EN_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_FPGA_EROT_RST_N_R (in view: work.BP_4S104G5(verilog)) on net o_FPGA_EROT_RST_N_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO111 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\bp_4s104g5_top.v":147:27:147:30|Tristate driver o_FPGA_EROT_RECOV_N_R (in view: work.BP_4S104G5(verilog)) on net o_FPGA_EROT_RECOV_N_R (in view: work.BP_4S104G5(verilog)) has its enable tied to GND.
@N: MO231 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\common\timer_gen_50mhz.v":81:0:81:5|Found counter in view:work.timer_gen(verilog) instance usec_tmr[4:0] 
@N: MO231 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\common\timer_gen_50mhz.v":81:0:81:5|Found counter in view:work.timer_gen(verilog) instance sec_tmr[14:0] 
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\common\timer_gen_50mhz.v":47:2:47:7|Removing sequential instance cnt20ns[2] (in view: work.timer_gen(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[55] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[54] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[53] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[52] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[51] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[50] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[49] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[48] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[47] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[46] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"d:\project\cnit-k\8u sw\code\v10\4port\bp_4s104g5\rtl\source\sgpio_slave\s2p_slave.v":89:2:89:7|Removing sequential instance po_r[45] (in view: work.s2p_slave_60s_6s_Z1(verilog)) because it does not drive other instances.
