@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_BIOS_FLASH_RESET_R_N (in view: work.BM_H13DSP_S(verilog)) on net o_BIOS_FLASH_RESET_R_N (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_CHASSIS_ID0_N (in view: work.BM_H13DSP_S(verilog)) on net o_CHASSIS_ID0_N (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_CPLD_SGPIO1_MISO (in view: work.BM_H13DSP_S(verilog)) on net o_CPLD_SGPIO1_MISO (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_M2_GPIO6_R (in view: work.BM_H13DSP_S(verilog)) on net o_M2_GPIO6_R (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_M2_GPIO7_R (in view: work.BM_H13DSP_S(verilog)) on net o_M2_GPIO7_R (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_M_2_SATAPCIE_SEL_R (in view: work.BM_H13DSP_S(verilog)) on net o_M_2_SATAPCIE_SEL_R (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_OCP1_ATNT_LED_R (in view: work.BM_H13DSP_S(verilog)) on net o_OCP1_ATNT_LED_R (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_OCP1_GREEN_LED_R (in view: work.BM_H13DSP_S(verilog)) on net o_OCP1_GREEN_LED_R (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_OCP1_UART_TX_R (in view: work.BM_H13DSP_S(verilog)) on net o_OCP1_UART_TX_R (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: MO111 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\bm_h13dsp_s_top.v":2421:28:2421:31|Tristate driver o_P0_MCIOG3A_RSV_R (in view: work.BM_H13DSP_S(verilog)) on net o_P0_MCIOG3A_RSV_R (in view: work.BM_H13DSP_S(verilog)) has its enable tied to GND.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\pon_reset.v":76:0:76:5|Removing sequential instance pon_reset_db_n (in view: work.pon_reset(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\pon_reset.v":61:0:61:5|Removing sequential instance pgd_aux_system_sasd (in view: work.pon_reset(verilog)) of type view:PrimLib.sdffr(prim) because it does not drive other instances.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\timer_gen_50mhz.v":47:2:47:7|Removing sequential instance t40ns (in view: work.timer_gen(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\timer_gen_50mhz.v":47:2:47:7|Removing sequential instance t160ns (in view: work.timer_gen(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\timer_gen_50mhz.v":87:0:87:5|Removing sequential instance t2us (in view: work.timer_gen(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\timer_gen_50mhz.v":87:0:87:5|Removing sequential instance t128us (in view: work.timer_gen(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\timer_gen_50mhz.v":87:0:87:5|Removing sequential instance t512us (in view: work.timer_gen(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"d:\work_file\cpld_code\cpld_db\34.cnit-k amd gpu server v200r001b01\02.mb_s cpld\v01\bm_h13dsp_s\rtl\source\common\timer_gen_50mhz.v":87:0:87:5|Removing sequential instance t2ms (in view: work.timer_gen(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
